ts 	 trial # 	 led 	 alpha 	 gamma 	 theta 	 target_pos 	 center_pos 	 pointer_pt
65.57442557442558	1	False	40.38683455145952	91.77063097103316	40.081324389886355	[ 861.46363624 -204.6151314 ]	[315.77079264 259.2537028 ]	[313.06752523 169.44544474]
65.63436563436564	1	False	40.447341725687764	91.81470616718003	40.0907152379082	[ 861.39239535 -204.69977458]	[315.82963053 260.05133057]	[313.05940755 170.3130188 ]
65.6943056943057	1	False	40.50331513729891	91.86570393539385	40.097701966882816	[ 861.33938361 -204.76274097]	[315.8233846  260.86848958]	[312.97646077 171.23128255]
65.75424575424574	1	False	40.52982485090669	91.96037166767755	40.083725075859626	[ 861.44542547 -204.63677078]	[315.93473307 261.42616781]	[312.9387207  171.76196289]
65.8141858141858	1	False	40.59523496191951	92.10925780251397	40.10391315359042	[ 861.29224983 -204.81871253]	[315.98948161 262.14402262]	[312.76141357 172.5104777 ]
65.87412587412587	1	False	40.655051195673444	92.10394879173761	40.099591480700305	[ 861.32504562 -204.7797687 ]	[316.11692301 263.08888753]	[312.89951579 173.52073161]
65.93406593406593	1	False	40.73880911675338	91.89603692141917	40.101748947418116	[ 861.30867366 -204.79921056]	[316.48034668 264.12754313]	[313.5886027  174.57269287]
65.99400599400599	1	False	40.816243193231266	91.7243519856384	40.10709080254056	[ 861.2681338  -204.84734565]	[316.7537028  265.09112549]	[314.1346639  175.68096924]
66.05394605394605	1	False	40.872267657051694	91.80650600690187	40.09129270014452	[ 861.38801416 -204.70497908]	[316.89072673 266.14798991]	[314.14628092 176.83042399]
66.11388611388611	1	False	40.944553909332605	91.82121831096212	40.08062741776655	[ 861.46892306 -204.60884887]	[317.19980876 267.24766032]	[314.42972819 177.84328206]
66.17382617382617	1	False	40.983951243611735	91.73532347906796	40.060296733618536	[ 861.62310601 -204.42555903]	[317.31616211 268.11938477]	[314.68080648 178.73671468]
66.23376623376623	1	False	40.97549156920223	91.76866127939172	40.00056511017774	[ 862.07571969 -203.88673649]	[317.45658366 268.78830973]	[314.77097575 179.46468099]
